N	eigenvalue	difference	twstat	p-value	effect.n
323	0.410054	-0.002713	-15.453	1	828.169
324	0.406832	-0.003222	-15.761	1	827.104
325	0.403867	-0.002966	-16.019	1	825.957
326	0.403666	-0.000201	-15.653	1	824.742
327	0.400869	-0.002796	-15.874	1	823.611
328	0.397922	-0.002947	-16.137	1	822.419
329	0.394984	-0.002938	-16.404	1	821.157
330	0.393341	-0.001643	-16.379	1	819.824
331	0.391377	-0.001964	-16.429	1	818.491
332	0.390571	-0.000806	-16.212	1	817.139
333	0.389566	-0.001005	-16.038	1	815.834
334	0.387752	-0.001814	-16.051	1	814.564
335	0.385279	-0.002473	-16.220	1	813.285
336	0.384922	-0.000357	-15.897	1	811.957
337	0.383053	-0.001869	-15.924	1	810.703
338	0.381778	-0.001276	-15.813	1	809.436
339	0.380265	-0.001513	-15.757	1	808.190
340	0.375884	-0.004381	-16.383	1	806.951
341	0.372980	-0.002905	-16.672	1	805.550
342	0.370937	-0.002042	-16.762	1	804.071
343	0.369908	-0.001029	-16.613	1	802.562
344	0.367267	-0.002641	-16.849	1	801.083
345	0.366065	-0.001202	-16.744	1	799.539
346	0.365672	-0.000392	-16.443	1	798.013
347	0.362987	-0.002685	-16.692	1	796.554
348	0.362728	-0.000259	-16.358	1	795.026
349	0.359931	-0.002798	-16.637	1	793.574
350	0.359157	-0.000773	-16.428	1	792.044
351	0.357728	-0.001429	-16.377	1	790.559
352	0.355633	-0.002095	-16.490	1	789.080
353	0.354945	-0.000688	-16.260	1	787.565
354	0.354030	-0.000915	-16.082	1	786.100
355	0.352797	-0.001233	-15.980	1	784.674
356	0.352134	-0.000663	-15.736	1	783.266
357	0.351445	-0.000689	-15.495	1	781.913
358	0.348775	-0.002670	-15.743	1	780.617
359	0.346725	-0.002050	-15.844	1	779.248
360	0.345553	-0.001172	-15.728	1	777.846
361	0.345131	-0.000423	-15.422	1	776.467
362	0.343057	-0.002074	-15.527	1	775.160
363	0.339585	-0.003472	-15.990	1	773.819
364	0.336605	-0.002980	-16.340	1	772.349
365	0.334773	-0.001832	-16.406	1	770.779
366	0.333769	-0.001005	-16.264	1	769.184
367	0.329533	-0.004236	-16.948	1	767.617
368	0.328962	-0.000571	-16.706	1	765.866
369	0.327809	-0.001153	-16.611	1	764.168
370	0.326740	-0.001069	-16.493	1	762.486
371	0.325611	-0.001129	-16.389	1	760.827
372	0.325008	-0.000603	-16.148	1	759.186
373	0.321787	-0.003221	-16.583	1	757.600
374	0.320290	-0.001497	-16.580	1	755.891
375	0.318941	-0.001349	-16.539	1	754.174
376	0.318481	-0.000460	-16.266	1	752.459
377	0.315817	-0.002664	-16.567	1	750.807
378	0.313285	-0.002532	-16.841	1	749.067
379	0.310464	-0.002821	-17.199	1	747.246
380	0.308817	-0.001647	-17.254	1	745.322
381	0.307733	-0.001084	-17.163	1	743.375
382	0.305738	-0.001995	-17.313	1	741.442
383	0.304523	-0.001215	-17.259	1	739.461
384	0.302989	-0.001534	-17.290	1	737.484
385	0.299176	-0.003813	-17.934	1	735.489
386	0.297858	-0.001318	-17.922	1	733.319
387	0.294237	-0.003621	-18.531	1	731.142
388	0.293805	-0.000432	-18.293	1	728.801
389	0.292281	-0.001524	-18.346	1	726.510
390	0.290710	-0.001571	-18.413	1	724.196
391	0.290449	-0.000261	-18.128	1	721.854
392	0.289092	-0.001357	-18.137	1	719.573
393	0.286718	-0.002374	-18.422	1	717.281
394	0.286035	-0.000682	-18.254	1	714.905
395	0.284793	-0.001242	-18.236	1	712.562
396	0.284291	-0.000502	-18.016	1	710.213
397	0.283417	-0.000874	-17.895	1	707.909
398	0.281844	-0.001573	-17.964	1	705.626
399	0.280963	-0.000881	-17.845	1	703.315
400	0.279840	-0.001124	-17.792	1	701.023
401	0.278636	-0.001204	-17.761	1	698.735
402	0.278306	-0.000330	-17.489	1	696.444
403	0.277342	-0.000963	-17.387	1	694.214
404	0.275353	-0.001989	-17.570	1	691.999
405	0.275065	-0.000288	-17.284	1	689.726
406	0.273359	-0.001706	-17.388	1	687.518
407	0.272855	-0.000504	-17.160	1	685.271
408	0.271390	-0.001465	-17.198	1	683.073
409	0.270352	-0.001038	-17.117	1	680.856
410	0.270081	-0.000270	-16.820	1	678.648
411	0.269683	-0.000399	-16.553	1	676.510
412	0.268872	-0.000810	-16.399	1	674.434
413	0.267536	-0.001336	-16.391	1	672.390
414	0.267111	-0.000425	-16.125	1	670.337
415	0.266732	-0.000379	-15.841	1	668.347
416	0.265648	-0.001084	-15.754	1	666.427
417	0.265465	-0.000183	-15.408	1	664.521
418	0.265155	-0.000310	-15.091	1	662.703
419	0.263860	-0.001294	-15.051	1	660.967
420	0.261621	-0.002239	-15.284	1	659.233
421	0.261470	-0.000151	-14.920	1	657.419
422	0.260383	-0.001087	-14.821	1	655.702
423	0.259965	-0.000418	-14.525	1	654.005
424	0.259458	-0.000508	-14.250	1	652.385
425	0.258219	-0.001239	-14.183	1	650.840
426	0.258011	-0.000208	-13.812	1	649.304
427	0.257318	-0.000693	-13.577	1	647.874
428	0.255500	-0.001818	-13.670	1	646.508
429	0.255426	-0.000074	-13.249	1	645.102
430	0.253824	-0.001602	-13.274	1	643.821
431	0.253389	-0.000435	-12.952	1	642.523
432	0.252294	-0.001095	-12.821	1	641.320
433	0.250696	-0.001598	-12.841	1	640.151
434	0.249797	-0.000899	-12.651	1	638.966
435	0.249496	-0.000301	-12.275	1	637.836
436	0.242324	-0.007171	-13.990	1	636.823
437	0.242239	-0.000085	-13.582	1	635.235
438	0.240664	-0.001575	-13.624	1	633.768
439	0.237726	-0.002938	-14.090	1	632.277
440	0.236185	-0.001541	-14.137	1	630.624
441	0.233847	-0.002339	-14.436	1	628.945
442	0.232623	-0.001224	-14.396	1	627.158
443	0.230669	-0.001954	-14.585	1	625.372
444	0.230145	-0.000524	-14.332	1	623.514
445	0.227792	-0.002353	-14.650	1	621.725
446	0.227579	-0.000213	-14.302	1	619.821
447	0.226400	-0.001179	-14.253	1	618.017
448	0.225205	-0.001196	-14.209	1	616.217
449	0.224374	-0.000831	-14.049	1	614.418
450	0.223741	-0.000633	-13.823	1	612.660
451	0.223334	-0.000408	-13.520	1	610.965
452	0.221741	-0.001593	-13.592	1	609.359
453	0.219461	-0.002280	-13.890	1	607.716
454	0.218031	-0.001430	-13.923	1	605.962
455	0.217387	-0.000644	-13.703	1	604.183
456	0.216303	-0.001084	-13.621	1	602.467
457	0.214971	-0.001332	-13.620	1	600.765
458	0.213633	-0.001338	-13.624	1	599.051
459	0.211970	-0.001664	-13.736	1	597.324
460	0.210201	-0.001768	-13.888	1	595.545
461	0.208901	-0.001300	-13.891	1	593.701
462	0.207508	-0.001393	-13.926	1	591.843
463	0.206130	-0.001378	-13.959	1	589.959
464	0.205144	-0.000987	-13.864	1	588.051
465	0.203418	-0.001726	-14.016	1	586.161
466	0.203050	-0.000368	-13.717	1	584.205
467	0.198725	-0.004325	-14.749	1	582.339
468	0.197348	-0.001377	-14.811	1	580.107
469	0.196297	-0.001051	-14.766	1	577.839
470	0.194791	-0.001506	-14.876	1	575.571
471	0.193822	-0.000969	-14.806	1	573.252
472	0.193672	-0.000150	-14.456	1	570.941
473	0.191927	-0.001745	-14.646	1	568.733
474	0.191223	-0.000704	-14.484	1	566.445
475	0.189804	-0.001419	-14.566	1	564.197
476	0.188120	-0.001683	-14.744	1	561.906
477	0.186785	-0.001335	-14.806	1	559.539
478	0.186099	-0.000687	-14.647	1	557.135
479	0.185332	-0.000767	-14.512	1	554.769
480	0.184682	-0.000650	-14.334	1	552.434
481	0.184082	-0.000600	-14.136	1	550.144
482	0.183605	-0.000477	-13.889	1	547.908
