isotype	Sublineage	Lineage	lat	long	geo	geo_color	abslat	subpop	adm_color	lineage_color	sublineage_color
QG784	TS2	Tropical	9.14576403	-79.8544232	Central America	#8DA0CB	9.14576403	Admixed	gray80	#ff0000	#ff77ab
QG2641	TS2	Tropical	9.153933333	-79.83166667	Central America	#8DA0CB	9.153933333	Admixed	gray80	#ff0000	#ff77ab
QG737	TS2	Tropical	9.155514	-79.848903	Central America	#8DA0CB	9.155514	Admixed	gray80	#ff0000	#ff77ab
QG2972	TS2	Tropical	9.167433333	-79.8397	Central America	#8DA0CB	9.167433333	Admixed	gray80	#ff0000	#ff77ab
QG978	TS2	Tropical	9.1491	-79.856143	Central America	#8DA0CB	9.1491	Admixed	gray80	#ff0000	#ff77ab
QG864	TS2	Tropical	9.152583	-79.852998	Central America	#8DA0CB	9.152583	Admixed	gray80	#ff0000	#ff77ab
QG809	TS2	Tropical	9.1491	-79.856143	Central America	#8DA0CB	9.1491	R	#9C87FF	#ff0000	#ff77ab
QG3823	TS2	Tropical	10.42540556	-84.00121667	Central America	#8DA0CB	10.42540556	Admixed	gray80	#ff0000	#ff77ab
QG790	TS2	Tropical	9.147185361	-79.8528469	Central America	#8DA0CB	9.147185361	Admixed	gray80	#ff0000	#ff77ab
QG3006	TS2	Tropical	9.16925	-79.8380167	Central America	#8DA0CB	9.16925	Admixed	gray80	#ff0000	#ff77ab
QG858	TS2	Tropical	9.155694	-79.848988	Central America	#8DA0CB	9.155694	Admixed	gray80	#ff0000	#ff77ab
QG2665	TS2	Tropical	9.153933333	-79.83166667	Central America	#8DA0CB	9.153933333	Admixed	gray80	#ff0000	#ff77ab
QG3057	TS2	Tropical	9.163366667	-79.8372333	Central America	#8DA0CB	9.163366667	Admixed	gray80	#ff0000	#ff77ab
QG875	TS2	Tropical	9.1543	-79.82672	Central America	#8DA0CB	9.1543	R	#9C87FF	#ff0000	#ff77ab
QG804	TS2	Tropical	9.152943	-79.851689	Central America	#8DA0CB	9.152943	R	#9C87FF	#ff0000	#ff77ab
QG786	TS2	Tropical	9.14576403	-79.8544232	Central America	#8DA0CB	9.14576403	Admixed	gray80	#ff0000	#ff77ab
QG994	TS2	Tropical	9.154377	-79.833165	Central America	#8DA0CB	9.154377	R	#9C87FF	#ff0000	#ff77ab
QG888	TS2	Tropical	9.14576403	-79.8544232	Central America	#8DA0CB	9.14576403	R	#9C87FF	#ff0000	#ff77ab
QG946	TS2	Tropical	9.147419	-79.85312	Central America	#8DA0CB	9.147419	R	#9C87FF	#ff0000	#ff77ab
QG945	TS2	Tropical	9.147419	-79.85312	Central America	#8DA0CB	9.147419	R	#9C87FF	#ff0000	#ff77ab
QG797	TS2	Tropical	9.152688	-79.851539	Central America	#8DA0CB	9.152688	R	#9C87FF	#ff0000	#ff77ab
QG933	TS2	Tropical	9.164456	-79.844623	Central America	#8DA0CB	9.164456	R	#9C87FF	#ff0000	#ff77ab
QG3025	TS2	Tropical	9.1581	-79.8474333	Central America	#8DA0CB	9.1581	R	#9C87FF	#ff0000	#ff77ab
QG3034	TS2	Tropical	9.163366667	-79.8447333	Central America	#8DA0CB	9.163366667	R	#9C87FF	#ff0000	#ff77ab
QG3030	TS2	Tropical	9.1594	-79.8478833	Central America	#8DA0CB	9.1594	R	#9C87FF	#ff0000	#ff77ab
QG2996	TS2	Tropical	9.163766667	-79.8440167	Central America	#8DA0CB	9.163766667	R	#9C87FF	#ff0000	#ff77ab
QG2648	TS2	Tropical	9.153933333	-79.83166667	Central America	#8DA0CB	9.153933333	R	#9C87FF	#ff0000	#ff77ab
QG998	TS2	Tropical	9.170573	-79.84316	Central America	#8DA0CB	9.170573	R	#9C87FF	#ff0000	#ff77ab
