"","samples","cluster","frac_cluster","max_frac","lat","long","geo"
"298","BRC20095","L",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"299","BRC20095","M",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"300","BRC20095","N",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"301","BRC20095","O",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"302","BRC20095","P",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"303","BRC20095","Q",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"304","BRC20095","R",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"305","BRC20095","S",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"306","BRC20095","T",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"307","BRC20095","U",0.999786,0.999786,24.74725,121.746266,"Taiwan"
"308","BRC20095","V",1e-05,0.999786,24.74725,121.746266,"Taiwan"
"309","BRC20096","A",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"310","BRC20096","B",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"311","BRC20096","C",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"312","BRC20096","D",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"313","BRC20096","E",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"314","BRC20096","F",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"315","BRC20096","G",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"316","BRC20096","H",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"317","BRC20096","I",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"318","BRC20096","J",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"319","BRC20096","K",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"320","BRC20096","L",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"321","BRC20096","M",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"322","BRC20096","N",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"323","BRC20096","O",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"324","BRC20096","P",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"325","BRC20096","Q",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"326","BRC20096","R",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"327","BRC20096","S",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"328","BRC20096","T",1e-05,0.787672,25.04372222,121.6160639,"Taiwan"
"329","BRC20096","U",0.787672,0.787672,25.04372222,121.6160639,"Taiwan"
"330","BRC20096","V",0.212128,0.787672,25.04372222,121.6160639,"Taiwan"
"331","BRC20098","A",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"332","BRC20098","B",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"333","BRC20098","C",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"334","BRC20098","D",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"335","BRC20098","E",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"336","BRC20098","F",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"337","BRC20098","G",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"338","BRC20098","H",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"339","BRC20098","I",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"340","BRC20098","J",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"341","BRC20098","K",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"342","BRC20098","L",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"343","BRC20098","M",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"344","BRC20098","N",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"345","BRC20098","O",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"346","BRC20098","P",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
"347","BRC20098","Q",1e-05,0.99979,25.04372222,121.6160639,"Taiwan"
