N	eigenvalue	difference	twstat	p-value	effect.n
505	0.149945	-0.000805	-14.285	1	723.081
506	0.149848	-0.000097	-13.915	1	720.277
507	0.148983	-0.000865	-13.898	1	717.638
508	0.148921	-0.000062	-13.503	1	714.981
509	0.148395	-0.000526	-13.317	1	712.509
510	0.146900	-0.001496	-13.586	1	710.111
511	0.146294	-0.000606	-13.443	1	707.540
512	0.146066	-0.000228	-13.117	1	705.020
513	0.145513	-0.000552	-12.938	1	702.652
514	0.145384	-0.000130	-12.553	1	700.357
515	0.145154	-0.000229	-12.204	1	698.254
516	0.143951	-0.001203	-12.316	1	696.327
517	0.142734	-0.001216	-12.441	1	694.309
518	0.141092	-0.001642	-12.778	1	692.193
519	0.139741	-0.001351	-12.986	1	689.854
520	0.139229	-0.000513	-12.793	1	687.368
521	0.138531	-0.000697	-12.686	1	684.964
522	0.136669	-0.001863	-13.151	1	682.594
523	0.134326	-0.002343	-13.869	1	679.925
524	0.133383	-0.000943	-13.918	1	676.819
525	0.132630	-0.000753	-13.876	1	673.654
526	0.131908	-0.000722	-13.819	1	670.480
527	0.130866	-0.001042	-13.920	1	667.307
528	0.129721	-0.001145	-14.078	1	664.044
529	0.128456	-0.001265	-14.301	1	660.660
530	0.127522	-0.000934	-14.366	1	657.119
531	0.127277	-0.000245	-14.090	1	653.507
532	0.127080	-0.000197	-13.783	1	650.017
533	0.126364	-0.000716	-13.729	1	646.666
534	0.125796	-0.000569	-13.601	1	643.312
535	0.125436	-0.000360	-13.365	1	639.998
536	0.124507	-0.000929	-13.412	1	636.787
537	0.123137	-0.001370	-13.684	1	633.514
538	0.122821	-0.000316	-13.432	1	630.046
539	0.122413	-0.000409	-13.220	1	626.691
540	0.121951	-0.000462	-13.031	1	623.426
541	0.121717	-0.000234	-12.720	1	620.239
542	0.121469	-0.000249	-12.409	1	617.207
543	0.118850	-0.002618	-13.307	1	614.333
544	0.115134	-0.003716	-14.800	1	610.870
545	0.113474	-0.001660	-15.276	1	606.504
546	0.112889	-0.000585	-15.213	1	601.839
547	0.112506	-0.000383	-15.044	1	597.173
548	0.112056	-0.000450	-14.906	1	592.562
